1   | " " | 810197 
2   | "о" | 457203 
3   | "е" | 337652 
4   | "а" | 327868 
5   | "и" | 267316 
6   | "н" | 254008 
7   | "т" | 240268 
8   | "с" | 208935 
9   | "л" | 200851 
10  | "в" | 181718 
11  | "р" | 175263 
12  | "к" | 132215 
13  | "д" | 119910 
14  | "м" | 117682 
15  | "," | 116275 
16  | "у" | 113707 
17  | "п" | 100132 
18  | "я" |  84349 
19  | "ь" |  81478 
20  | "г" |  75034 
21  | "ы" |  74788 
22  | "з" |  67393 
23  | "б" |  65859 
24  | "ч" |  61485 
25  | "." |  61079 
26  | "й" |  46092 
27  | "ж" |  42656 
28  | "ш" |  35882 
29  | "
" |  34430 
30  | "х" |  34153 
31  | "-" |  33163 
32  | "ю" |  24080 
33  | "ц" |  13728 
34  | "щ" |  12141 
35  | "e" |  10977 
36  | "э" |  10902 
37  | "Н" |  10348 
38  | "П" |   9688 
39  | "!" |   8239 
40  | "В" |   7704 
41  | "?" |   7248 
42  | "О" |   6733 
43  | "ф" |   6703 
44  | "А" |   6573 
45  | "К" |   5671 
46  | "'" |   5521 
47  | "s" |   5424 
48  | "–" |   5345 
49  | "С" |   5224 
50  | "И" |   5163 
51  | "n" |   4957 
52  | "Д" |   4919 
53  | "М" |   4910 
54  | "a" |   4907 
55  | "i" |   4742 
56  | "r" |   4703 
57  | ";" |   4423 
58  | "u" |   4359 
59  | "o" |   4337 
60  | "t" |   4195 
61  | "Р" |   3931 
62  | ":" |   3771 
63  | "Б" |   3673 
64  | "Т" |   3596 
65  | "l" |   3540 
66  | "m" |   2652 
67  | "d" |   2280 
68  | "Я" |   2280 
69  | "c" |   2164 
70  | " " |   2149 
71  | "Г" |   1831 
72  | "Ч" |   1720 
73  | "p" |   1703 
74  | "Е" |   1617 
75  | "Э" |   1587 
76  | "ъ" |   1461 
77  | "ё" |   1391 
78  | "Л" |   1378 
79  | "З" |   1372 
80  | "v" |   1310 
81  | ")" |   1163 
82  | "(" |   1097 
83  | "У" |   1087 
84  | "é" |   1062 
85  | "h" |    905 
86  | "I" |    882 
87  | "f" |    725 
88  | "q" |    702 
89  | "X" |    692 
90  | "Ф" |    683 
91  | "g" |    628 
92  | "b" |    602 
93  | "Х" |    468 
94  | "V" |    442 
95  | "1" |    434 
96  | "j" |    378 
97  | "z" |    374 
98  | "«" |    363 
99  | "»" |    363 
100 | "Ж" |    360 
101 | "à" |    316 
102 | "Ш" |    303 
103 | "è" |    290 
104 | "M" |    279 
105 | "L" |    252 
106 | "2" |    219 
107 | "A" |    215 
108 | "B" |    213 
109 | "x" |    199 
110 | "N" |    197 
111 | "0" |    174 
112 | "C" |    170 
113 | "ê" |    158 
114 | "E" |    152 
115 | "8" |    151 
116 | "y" |    149 
117 | "J" |    138 
118 | "P" |    128 
119 | "S" |    122 
120 | "—" |     96 
121 | "D" |     96 
122 | "Ц" |     94 
123 | "5" |     92 
124 | "3" |     85 
125 | "k" |     78 
126 | "́" |     76 
127 | "ç" |     69 
128 | "O" |     67 
129 | "R" |     67 
130 | "4" |     61 
131 | "	" |     57 
132 | "F" |     56 
133 | "w" |     55 
134 | "Q" |     54 
135 | "9" |     53 
136 | "7" |     45 
137 | "6" |     44 
138 | "„" |     44 
139 | "T" |     43 
140 | "“" |     43 
141 | "â" |     38 
142 | "K" |     36 
143 | "G" |     36 
144 | "*" |     33 
145 | "î" |     31 
146 | "U" |     31 
147 | "H" |     29 
148 | "ô" |     28 
149 | "œ" |     25 
150 | "Щ" |     23 
151 | "Ю" |     22 
152 | "û" |     21 
153 | "W" |     18 
154 | "Ь" |     16 
155 | "ö" |     12 
156 | "ü" |     10 
157 | "ù" |      9 
158 | "ë" |      7 
159 | "Z" |      7 
160 | "ä" |      6 
161 | "Й" |      4 
162 | "Ç" |      3 
163 | "<" |      3 
164 | "ï" |      3 
165 | ">" |      3 
166 | """ |      2 
167 | "=" |      2 
168 | "" |      1 
169 | "ß" |      1 
170 | "Ê" |      1 
171 | "Ы" |      1 
172 | "Y" |      1 
173 | "°" |      1 
174 | "…" |      1 
